country;year;sex;age;suicides_no;population;suicides/100k pop;country-year;HDI for year;  gdp_for_year ($)  ;gdp_per_capita ($);generation
Albania;1994;female;75+ years;2;39.900;5,01;Albania1994;;R$ 1.985.673.798;R$ 697,00;G.I. Generation
Albania;1994;male;25-34 years;6;231.400;2,59;Albania1994;;R$ 1.985.673.798;R$ 697,00;Boomers
Albania;1994;male;35-54 years;9;362.800;2,48;Albania1994;;R$ 1.985.673.798;R$ 697,00;Boomers
Albania;1994;male;15-24 years;6;242.200;2,48;Albania1994;;R$ 1.985.673.798;R$ 697,00;Generation X
Albania;1994;female;15-24 years;6;282.600;2,12;Albania1994;;R$ 1.985.673.798;R$ 697,00;Generation X
Albania;1994;female;25-34 years;4;261.100;1,53;Albania1994;;R$ 1.985.673.798;R$ 697,00;Boomers
Albania;1994;female;35-54 years;2;342.500;0,58;Albania1994;;R$ 1.985.673.798;R$ 697,00;Boomers
Albania;1994;female;55-74 years;1;174.600;0,57;Albania1994;;R$ 1.985.673.798;R$ 697,00;Silent
Albania;1994;male;5-14 years;1;371.800;0,27;Albania1994;;R$ 1.985.673.798;R$ 697,00;Millenials
Albania;1994;female;5-14 years;0;344.400;0;Albania1994;;R$ 1.985.673.798;R$ 697,00;Millenials
Albania;1995;male;25-34 years;13;232.900;5,58;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Generation X
Albania;1995;male;55-74 years;9;178.000;5,06;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Silent
Albania;1995;female;75+ years;2;40.800;4,9;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;G.I. Generation
Albania;1995;female;15-24 years;13;283.500;4,59;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Generation X
Albania;1995;male;15-24 years;11;241.200;4,56;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Generation X
Albania;1995;male;75+ years;1;25.100;3,98;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;G.I. Generation
Albania;1995;male;35-54 years;14;375.900;3,72;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Boomers
Albania;1995;female;25-34 years;7;264.000;2,65;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Generation X
Albania;1995;female;35-54 years;8;356.400;2,24;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Boomers
Albania;1995;male;5-14 years;6;376.500;1,59;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Millenials
Albania;1995;female;55-74 years;2;180.400;1,11;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Silent
Albania;1995;female;5-14 years;2;348.700;0,57;Albania1995;0,62;R$ 2.424.499.009;R$ 835,00;Millenials
Albania;1996;male;75+ years;2;25.400;7,87;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;G.I. Generation
Albania;1996;male;15-24 years;17;243.600;6,98;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Generation X
Albania;1996;male;25-34 years;14;235.300;5,95;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Generation X
Albania;1996;female;15-24 years;16;287.700;5,56;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Generation X
Albania;1996;female;75+ years;2;41.200;4,85;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;G.I. Generation
Albania;1996;female;25-34 years;10;267.900;3,73;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Generation X
Albania;1996;male;35-54 years;12;379.600;3,16;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Boomers
Albania;1996;female;35-54 years;9;362.000;2,49;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Boomers
Albania;1996;male;55-74 years;3;179.900;1,67;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Silent
Albania;1996;female;55-74 years;1;183.100;0,55;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Silent
Albania;1996;male;5-14 years;2;380.400;0,53;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Millenials
Albania;1996;female;5-14 years;1;354.100;0,28;Albania1996;;R$ 3.314.898.292;R$ 1.127,00;Millenials
Albania;1997;male;25-34 years;36;236.000;15,25;Albania1997;;R$ 2.359.903.108;R$ 793,00;Generation X
Albania;1997;male;15-24 years;33;244.400;13,5;Albania1997;;R$ 2.359.903.108;R$ 793,00;Generation X
Albania;1997;male;75+ years;3;25.400;11,81;Albania1997;;R$ 2.359.903.108;R$ 793,00;G.I. Generation
Albania;1997;male;35-54 years;30;380.800;7,88;Albania1997;;R$ 2.359.903.108;R$ 793,00;Boomers
Albania;1997;female;15-24 years;21;294.000;7,14;Albania1997;;R$ 2.359.903.108;R$ 793,00;Generation X
Albania;1997;male;55-74 years;12;180.300;6,66;Albania1997;;R$ 2.359.903.108;R$ 793,00;Silent
Albania;1997;female;25-34 years;16;273.900;5,84;Albania1997;;R$ 2.359.903.108;R$ 793,00;Generation X
Albania;1997;female;75+ years;2;42.100;4,75;Albania1997;;R$ 2.359.903.108;R$ 793,00;G.I. Generation
Albania;1997;female;35-54 years;7;370.100;1,89;Albania1997;;R$ 2.359.903.108;R$ 793,00;Boomers
Albania;1997;female;5-14 years;6;361.800;1,66;Albania1997;;R$ 2.359.903.108;R$ 793,00;Millenials
Albania;1997;male;5-14 years;4;381.500;1,05;Albania1997;;R$ 2.359.903.108;R$ 793,00;Millenials
Albania;1997;female;55-74 years;0;187.000;0;Albania1997;;R$ 2.359.903.108;R$ 793,00;Silent
Albania;1998;male;75+ years;3;25.800;11,63;Albania1998;;R$ 2.707.123.772;R$ 899,00;G.I. Generation
Albania;1998;male;15-24 years;27;248.800;10,85;Albania1998;;R$ 2.707.123.772;R$ 899,00;Generation X
Albania;1998;female;15-24 years;32;295.600;10,83;Albania1998;;R$ 2.707.123.772;R$ 899,00;Generation X
Albania;1998;male;25-34 years;26;240.400;10,82;Albania1998;;R$ 2.707.123.772;R$ 899,00;Generation X
Albania;1998;male;35-54 years;29;388.200;7,47;Albania1998;;R$ 2.707.123.772;R$ 899,00;Boomers
Albania;1998;male;55-74 years;9;183.800;4,9;Albania1998;;R$ 2.707.123.772;R$ 899,00;Silent
Albania;1998;female;25-34 years;10;275.300;3,63;Albania1998;;R$ 2.707.123.772;R$ 899,00;Generation X
Albania;1998;female;55-74 years;6;188.200;3,19;Albania1998;;R$ 2.707.123.772;R$ 899,00;Silent
Albania;1998;female;35-54 years;9;372.100;2,42;Albania1998;;R$ 2.707.123.772;R$ 899,00;Boomers
Albania;1998;male;5-14 years;2;388.400;0,51;Albania1998;;R$ 2.707.123.772;R$ 899,00;Millenials
Albania;1998;female;5-14 years;1;363.800;0,27;Albania1998;;R$ 2.707.123.772;R$ 899,00;Millenials
Albania;1998;female;75+ years;0;42.300;0;Albania1998;;R$ 2.707.123.772;R$ 899,00;G.I. Generation
Albania;1999;male;75+ years;3;25.900;11,58;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;G.I. Generation
Albania;1999;male;15-24 years;24;250.600;9,58;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Generation X
Albania;1999;female;75+ years;4;42.400;9,43;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;G.I. Generation
Albania;1999;male;35-54 years;31;391.100;7,93;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Boomers
Albania;1999;male;25-34 years;19;242.300;7,84;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Generation X
Albania;1999;male;55-74 years;14;185.200;7,56;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Silent
Albania;1999;female;15-24 years;19;296.800;6,4;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Generation X
Albania;1999;female;25-34 years;13;276.500;4,7;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Generation X
Albania;1999;female;55-74 years;6;188.800;3,18;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Silent
Albania;1999;female;35-54 years;5;373.600;1,34;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Boomers
Albania;1999;female;5-14 years;1;365.200;0,27;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Millenials
Albania;1999;male;5-14 years;0;391.300;0;Albania1999;;R$ 3.414.760.915;R$ 1.127,00;Millenials
Albania;2000;male;25-34 years;17;232.000;7,33;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Generation X
Albania;2000;male;55-74 years;10;177.400;5,64;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Silent
Albania;2000;female;75+ years;2;37.800;5,29;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;G.I. Generation
Albania;2000;male;75+ years;1;24.900;4,02;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;G.I. Generation
Albania;2000;female;15-24 years;6;263.900;2,27;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Generation X
Albania;2000;male;15-24 years;5;240.000;2,08;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Generation X
Albania;2000;female;35-54 years;5;332.200;1,51;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Boomers
Albania;2000;female;25-34 years;3;245.800;1,22;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Generation X
Albania;2000;male;35-54 years;4;374.700;1,07;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Boomers
Albania;2000;male;5-14 years;1;374.900;0,27;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Millenials
Albania;2000;female;5-14 years;0;324.700;0;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Millenials
Albania;2000;female;55-74 years;0;168.000;0;Albania2000;0,66;R$ 3.632.043.908;R$ 1.299,00;Silent
Albania;2001;male;25-34 years;22;206.484;10,65;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Generation X
Albania;2001;male;35-54 years;34;378.826;8,98;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Boomers
Albania;2001;male;55-74 years;11;196.670;5,59;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Silent
Albania;2001;female;75+ years;2;47.254;4,23;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Silent
Albania;2001;male;15-24 years;10;256.039;3,91;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Millenials
Albania;2001;female;15-24 years;9;271.359;3,32;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Millenials
Albania;2001;female;35-54 years;12;370.191;3,24;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Boomers
Albania;2001;male;75+ years;1;31.044;3,22;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Silent
Albania;2001;female;55-74 years;6;189.799;3,16;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Silent
Albania;2001;male;5-14 years;6;321.556;1,87;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Millenials
Albania;2001;female;25-34 years;4;222.771;1,8;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Generation X
Albania;2001;female;5-14 years;2;307.356;0,65;Albania2001;;R$ 4.060.758.804;R$ 1.451,00;Millenials
Albania;2002;male;75+ years;4;31.007;12,9;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Silent
Albania;2002;male;25-34 years;23;206.286;11,15;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Generation X
Albania;2002;male;35-54 years;35;382.139;9,16;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Boomers
Albania;2002;male;55-74 years;13;198.130;6,56;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Silent
Albania;2002;male;15-24 years;15;263.067;5,7;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Millenials
Albania;2002;female;15-24 years;14;275.970;5,07;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Millenials
Albania;2002;female;35-54 years;15;375.113;4;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Boomers
Albania;2002;female;25-34 years;7;223.685;3,13;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Generation X
Albania;2002;female;75+ years;1;47.407;2,11;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Silent
Albania;2002;female;55-74 years;4;191.712;2,09;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Silent
Albania;2002;female;5-14 years;1;304.850;0,33;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Millenials
Albania;2002;male;5-14 years;1;319.473;0,31;Albania2002;;R$ 4.435.078.648;R$ 1.573,00;Millenials
Albania;2003;female;75+ years;6;49.088;12,22;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Silent
Albania;2003;male;55-74 years;16;201.520;7,94;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Silent
Albania;2003;male;35-54 years;28;386.196;7,25;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Boomers
Albania;2003;male;15-24 years;15;273.235;5,49;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Millenials
Albania;2003;female;15-24 years;14;283.709;4,93;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Millenials
Albania;2003;female;55-74 years;9;195.699;4,6;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Silent
Albania;2003;male;25-34 years;9;205.433;4,38;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Generation X
Albania;2003;female;25-34 years;9;222.941;4,04;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Generation X
Albania;2003;female;35-54 years;13;381.760;3,41;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Boomers
Albania;2003;male;75+ years;1;32.667;3,06;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Silent
Albania;2003;male;5-14 years;4;313.204;1,28;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Millenials
Albania;2003;female;5-14 years;0;298.477;0;Albania2003;;R$ 5.746.945.913;R$ 2.021,00;Millenials
Albania;2004;male;75+ years;4;35.526;11,26;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Silent
Albania;2004;male;35-54 years;39;391.767;9,95;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Boomers
Albania;2004;male;25-34 years;16;203.938;7,85;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Generation X
Albania;2004;female;15-24 years;20;292.268;6,84;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Millenials
Albania;2004;male;15-24 years;19;286.768;6,63;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Millenials
Albania;2004;female;75+ years;3;50.970;5,89;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Silent
Albania;2004;female;25-34 years;11;222.389;4,95;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Generation X
Albania;2004;male;55-74 years;10;207.202;4,83;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Silent
Albania;2004;female;35-54 years;17;391.436;4,34;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Boomers
Albania;2004;female;55-74 years;3;203.841;1,47;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Silent
Albania;2004;female;5-14 years;3;286.705;1,05;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Millenials
Albania;2004;male;5-14 years;1;302.181;0,33;Albania2004;;R$ 7.314.865.176;R$ 2.544,00;Millenials
Albania;2005;female;15-24 years;0;281.922;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Millenials
Albania;2005;female;25-34 years;0;190.745;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Generation X
Albania;2005;female;35-54 years;0;386.513;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Boomers
Albania;2005;female;5-14 years;0;276.559;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Millenials
Albania;2005;female;55-74 years;0;210.998;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Silent
Albania;2005;female;75+ years;0;53.191;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Silent
Albania;2005;male;15-24 years;0;281.675;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Millenials
Albania;2005;male;25-34 years;0;177.519;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Generation X
Albania;2005;male;35-54 years;0;380.242;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Boomers
Albania;2005;male;5-14 years;0;291.367;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Millenials
Albania;2005;male;55-74 years;0;214.118;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Silent
Albania;2005;male;75+ years;0;38.471;0;Albania2005;0,7;R$ 8.158.548.717;R$ 2.931,00;Silent
Albania;2006;female;15-24 years;0;283.138;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Millenials
Albania;2006;female;25-34 years;0;186.391;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Generation X
Albania;2006;female;35-54 years;0;388.746;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Boomers
Albania;2006;female;5-14 years;0;267.316;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Millenials
Albania;2006;female;55-74 years;0;215.907;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Silent
Albania;2006;female;75+ years;0;56.011;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Silent
Albania;2006;male;15-24 years;0;286.679;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Millenials
Albania;2006;male;25-34 years;0;174.092;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Generation X
Albania;2006;male;35-54 years;0;379.076;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Boomers
Albania;2006;male;5-14 years;0;282.678;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Millenials
Albania;2006;male;55-74 years;0;219.360;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Silent
Albania;2006;male;75+ years;0;40.782;0;Albania2006;;R$ 8.992.642.349;R$ 3.235,00;Silent
Albania;2007;male;75+ years;8;42.366;18,88;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Silent
Albania;2007;male;35-54 years;29;378.626;7,66;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Boomers
Albania;2007;male;55-74 years;14;224.160;6,25;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Silent
Albania;2007;female;75+ years;3;57.404;5,23;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Silent
Albania;2007;male;25-34 years;9;172.494;5,22;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Generation X
Albania;2007;female;15-24 years;13;281.080;4,63;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Millenials
Albania;2007;male;15-24 years;13;288.349;4,51;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Millenials
Albania;2007;female;25-34 years;8;183.629;4,36;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Generation X
Albania;2007;female;55-74 years;9;221.120;4,07;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Silent
Albania;2007;female;35-54 years;14;391.811;3,57;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Boomers
Albania;2007;male;5-14 years;4;272.497;1,47;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Generation Z
Albania;2007;female;5-14 years;0;256.808;0;Albania2007;;R$ 10.701.011.897;R$ 3.863,00;Generation Z
Albania;2008;male;25-34 years;21;172.855;12,15;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Generation X
Albania;2008;male;35-54 years;37;377.119;9,81;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Boomers
Albania;2008;male;55-74 years;21;228.672;9,18;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Silent
Albania;2008;female;75+ years;5;59.369;8,42;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Silent
Albania;2008;female;15-24 years;20;276.073;7,24;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Millenials
Albania;2008;female;25-34 years;9;182.663;4,93;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Generation X
Albania;2008;female;35-54 years;19;393.832;4,82;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Boomers
Albania;2008;male;75+ years;2;44.574;4,49;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Silent
Albania;2008;male;15-24 years;11;286.702;3,84;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Millenials
Albania;2008;female;55-74 years;7;226.448;3,09;Albania2008;;R$ 12.881.352.688;R$ 4.672,00;Silent
